category,brand,productModel,modelFamily,deviceType,issueType,problemKeywords,banglaKeywords,banglishKeywords,misspellings,customerSymptomExample,diagnosticQuestions,solutionSteps,repairImageUrl,repairVideoUrl,riskAfterSolution,nextPossibleProblem,nextSolutionSteps,whenToEscalate,escalationMessage,priority,active
Router / Internet,TP-Link,Archer C6,Archer,router,Slow Internet,slow internet|buffering|net slow,,net slow|net hang|buffering hocche,net slo|net slw,My internet is buffering,Are you using WiFi or LAN?|Is it happening on all devices?,Restart router|Turn off power for 30 seconds|Check WAN cable|Place router in open area,,,Speed may still vary if ISP link is unstable,WAN link issue,Check WAN status|Contact ISP if WAN is down,Escalate if speed remains low after checks,Contact nearest Excel Customer Support Point,high,TRUE
Router / Internet,TP-Link,WR840N,WR Series,router,WiFi Disconnecting,wifi disconnect|wifi drops|connection drops,,wifi bar bar jai|wifi chole jai,wifi disconect,WiFi bar bar jai,How far are you from router?|Does it happen on all devices?,Restart router|Move router to open place|Reduce connected devices|Change WiFi channel,,,WiFi may drop if signal interference remains,Channel interference,Try another WiFi channel|Update firmware,Escalate if disconnect continues,Contact Excel support point,high,TRUE
Router / Internet,TP-Link,Archer C24,Archer,router,Firmware Update,firmware update|update router,,firmware update korte chai,frimware update,Need router firmware update,What is exact model?|Do you have stable power?,Download only official firmware|Backup settings|Do not turn off power during update,,,Wrong firmware can damage router,Firmware mismatch,Verify hardware version before update,Escalate if unsure about firmware,Contact Excel support before updating,medium,TRUE
Router / Internet,TP-Link,Any,General Router,router,Router Setup,router setup|new router setup,,router setup korte chai,ruter setup,New router setup,Do you have ISP username/password?|Is WAN cable connected?,Connect WAN cable|Open router setup page|Set internet type from ISP|Set WiFi name and password,,,Wrong ISP settings may block internet,ISP credential issue,Collect correct ISP settings,Escalate if ISP settings are unknown,Contact Excel support point,medium,TRUE
Camera / DVR / NVR,Hikvision,DS-2CE,Turbo HD,camera,Camera Offline,camera offline|camera not showing,,camera show kore na,camra offline,Camera not showing,Is camera power available?|Is cable connected?,Check power adapter|Check cable|Restart DVR/NVR|Test another channel,,,Cable or power fault may remain,Camera hardware issue,Test with known good cable,Escalate if camera remains offline,Contact nearest Excel Customer Support Point,high,TRUE
Camera / DVR / NVR,Hikvision,Any,DVR,dvr,DVR No Display,dvr no display|no display,,dvr display nai,dvr no dispaly,DVR has no display,Is monitor powered on?|Is HDMI/VGA cable connected?,Check monitor source|Reconnect HDMI/VGA|Restart DVR|Try another cable,,,Monitor or DVR port may be faulty,Display output issue,Try another monitor,Escalate if no display remains,Contact Excel support point,high,TRUE
Camera / DVR / NVR,Hikvision,Any,NVR,nvr,NVR Camera Not Showing,nvr camera not showing|ip camera missing,,nvr camera show kore na,nvr cam missing,NVR camera missing,Are cameras powered by PoE?|Are cameras on same network?,Check PoE port|Check camera IP|Restart NVR|Add camera again,,,IP conflict may remain,Network/IP issue,Reset camera IP plan,Escalate if cameras are still missing,Contact Excel support point,high,TRUE
Printer,HP,Any,Ink/Toner Printer,printer,Not Printing,not printing|printer not printing,,printer print ditese na,priner not print,Printer not printing,Is printer online?|Is paper loaded?,Check printer power|Check paper|Set default printer|Clear print queue,,,Driver issue may remain,Driver problem,Reinstall printer driver,Escalate if printer still cannot print,Contact Excel support point,high,TRUE
UPS / Inverter,Excel,Any,UPS,ups,No Backup,no backup|backup low,,ups backup nai,ups bakup nai,UPS backup nai,How old is battery?|What load is connected?,Charge UPS fully|Reduce load|Check battery health|Test backup again,,,Weak battery may need replacement,Battery failure,Replace battery after test,Escalate if backup remains low,Contact Excel support point,high,TRUE
Warranty,Excel,Any,General,warranty,Warranty Check,warranty check|serial number,,warranty ache kina,warenty check,Warranty ache kina,Do you have serial number?|When did you purchase?,Keep serial number ready|Check purchase invoice|Contact Excel support for verification,,,Warranty depends on invoice and serial,Missing serial/invoice,Visit CSP with invoice,Escalate if warranty cannot be verified,Contact Excel Customer Support Point,medium,TRUE
New Product Purchase,Excel,Any,Sales,sales,Product Purchase,buy product|product price|dealer location,,product kinte chai|router kinte chai,prodcut buy,Product kinte chai,Which product do you need?|Which location do you prefer?,Share desired location|Share phone number for sales follow-up|Contact nearest Excel sales point,,,Stock and price may vary by location,Sales routing,Connect to local sales contact,Escalate to sales team if needed,Excel sales team can guide by location,medium,TRUE
