category,brand,model,modelFamily,problem,symptoms,solutionSteps,nextIfNotSolved,escalationMessage,imageUrl,videoUrl,active
"Router / Internet","TP-Link","Archer C6","Archer","Slow Internet","slow net|net slow|net slo|buffering|net hanging|wifi slow","Restart the router and wait 2 minutes.|Turn off router power for 30 seconds and turn it on again.|Check the WAN cable connection.|Place the router in an open area.|Reduce connected devices if too many users are connected.","Run a speed test near the router and contact Excel support with the result.","If speed remains low after these steps, contact your nearest Excel Customer Support Point.","","","true"
"Router / Internet","TP-Link","WR840N","WR Series","WiFi Disconnecting","wifi disconnect|wifi bar bar jai|wifi chole jai|connection drops|wifi keeps disconnecting","Restart the router.|Move the router to an open place.|Reduce connected devices.|Change WiFi channel if the router supports it.|Update firmware if available.","Check if the same problem happens beside the router. If yes, service inspection may be needed.","If WiFi still disconnects, contact Excel support.","","","true"
"Router / Internet","TP-Link","","General Router","No Internet","no internet|net nai|internet not working|router red light|los light","Check if the WAN cable is connected properly.|Restart the router and ONU.|Confirm that the internet bill or ISP line is active.|Check if the internet light is stable.","If LOS/red light continues, contact your ISP or Excel support point.","If internet is still not working, contact Excel support.","","","true"
"Router / Internet","TP-Link","Archer C24","Archer","Firmware Update","firmware update|update router|router update|firmware korte chai","Check the exact router model and hardware version.|Download firmware only from the official brand website.|Backup router settings before updating.|Do not turn off power during update.","If you are unsure about model or hardware version, do not update manually.","Contact Excel support before firmware update if you are unsure.","","","true"
"Router / Internet","TP-Link","","General Router","Router Password Reset","password reset|wifi password|forgot password|password vule gechi","Open the router admin page.|Login with admin credentials.|Go to Wireless settings.|Set a new WiFi password and save.|Reconnect devices using the new password.","If admin login is unknown, router reset and reconfiguration may be required.","Contact Excel support if password reset fails.","","","true"
"Camera / DVR / NVR","Hikvision","","IP Camera","Camera Offline","camera offline|camera show kore na|camera not showing|camera dekha jay na","Check camera power adapter or PoE power.|Check LAN cable connection.|Restart the DVR/NVR.|Check camera IP/channel settings.|Test one camera directly if possible.","The camera, cable, or power adapter may need physical inspection.","If camera remains offline, contact Excel support.","","","true"
"Camera / DVR / NVR","Hikvision","","DVR","DVR No Display","dvr no display|no display|dvr display nai|monitor blank","Check monitor power and input source.|Reconnect HDMI/VGA cable.|Restart the DVR.|Try another cable or monitor.|Check DVR display resolution if possible.","DVR output port or monitor may need inspection.","If display is still blank, contact Excel support.","","","true"
"Camera / DVR / NVR","Hikvision","","NVR","NVR Camera Not Showing","nvr camera not showing|ip camera missing|nvr camera show kore na","Check PoE power and LAN cable.|Confirm cameras are on the same network.|Restart the NVR.|Check IP conflict.|Add the camera again if needed.","Camera IP planning may need engineer support.","If cameras still do not show, contact Excel support.","","","true"
"Printer","HP","","Ink/Toner Printer","Not Printing","not printing|printer not printing|printer print ditese na|print hocche na","Check printer power and connection.|Set the printer as default.|Clear the print queue.|Restart printer and computer.|Reinstall driver if needed.","Driver or printer hardware may need inspection.","If printer still does not print, contact Excel support.","","","true"
"Printer","HP","","Ink/Toner Printer","Paper Jam","paper jam|paper stuck|paper dhore jacche|paper atke jay","Turn off the printer.|Remove jammed paper slowly.|Check paper tray alignment.|Use clean and correct-size paper.|Restart the printer.","Roller or sensor cleaning may be needed.","If paper jam repeats, contact Excel support.","","","true"
"UPS / Inverter","Excel","","UPS","No Backup","no backup|low backup|ups backup nai|backup kom","Charge the UPS fully.|Reduce connected load.|Check battery age.|Check charging indicator.|Test backup again with safe load.","Battery health test or replacement may be needed.","Contact Excel support for battery testing.","","","true"
"UPS / Inverter","Excel","","UPS","Overload","overload|ups overload|alarm sound|beep sound","Turn off the UPS safely.|Disconnect extra devices.|Keep only required load connected.|Restart the UPS.|Check if overload alarm stops.","Connected load may exceed UPS capacity.","If overload continues, contact Excel support.","","","true"
"Warranty","Excel","","General","Warranty Check","warranty check|warranty ache kina|serial number|warranty status","Keep the product serial number ready.|Keep purchase invoice ready.|Contact nearest Excel support point for warranty record check.|Do not open warranty product outside authorized service.","Visit a CSP with product, invoice, and serial number.","For warranty verification, contact Excel Customer Support Point.","","","true"
"New Product Purchase","Excel","","Sales","New Product Purchase","buy product|product kinte chai|want to buy|product price|dealer contact|sales contact","Please mention your desired location.|Share your phone number if you want sales follow-up.|Contact your nearest Excel sales point for stock and price.","Excel sales team can guide based on location.","For sales support, contact your nearest Excel sales point.","","","true"
